,age,workclass,education,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,over50k
86,57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
87,37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
88,28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K
89,34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
90,29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
91,48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K
92,37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
93,48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
94,32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
95,76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
96,44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
97,47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
98,20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
99,29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
100,32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
101,17, ?, 10th, Never-married, ?, Own-child, White, Female,34095,0,32, United-States, <=50K
102,30, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
103,31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
104,42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
105,24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
106,38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
107,56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada, >50K
108,28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States, <=50K
109,36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
110,53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
111,56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
112,49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
113,55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States, <=50K
114,22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K
115,21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
116,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
117,30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K
118,29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
119,19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
120,47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
121,20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K
122,31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
123,35, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
124,39, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
125,28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
126,24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States, <=50K
127,38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States, <=50K
128,37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
129,46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States, <=50K
130,38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
131,43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
132,27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
133,20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
134,49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
135,61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
136,27, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
137,19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico, <=50K
138,45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States, >50K
139,70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
140,31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States, <=50K
141,22, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
142,36, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
143,64, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States, <=50K
144,43, ?, Some-college, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
145,47, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico, <=50K
146,34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
147,33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
148,21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
149,52, ?, HS-grad, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States, >50K
150,48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
151,23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
152,71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K
153,29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
154,42, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States, <=50K
155,68, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States, <=50K
156,25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
157,44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
158,28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K
159,45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
160,36, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
161,39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
162,46, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
163,18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
164,66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
165,27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States, <=50K
166,28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
167,51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
168,27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
169,28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
170,27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
171,21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
172,34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
173,18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
174,33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K
175,44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K
176,43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
177,30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
178,40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
179,37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
180,34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
181,41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
182,53, ?, Bachelors, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States, <=50K
183,31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
184,58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K
185,38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, <=50K
186,24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
187,41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
188,47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
189,41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
190,23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
191,36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
192,40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
193,35, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K
194,24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
195,26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, <=50K
196,19, ?, HS-grad, Never-married, ?, Own-child, White, Male,0,0,40, Italy, <=50K
197,51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
198,42, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K
199,37, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
200,18, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
201,36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States, >50K
202,35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
203,58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States, >50K
204,17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
205,44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
206,37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
207,35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
208,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
209,54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
210,37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
211,50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
212,38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
213,45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
214,25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
215,31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
216,64, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
217,90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States, <=50K
218,54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States, <=50K
219,53, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
220,18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
221,60, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
222,66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States, <=50K
223,75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia, <=50K
224,65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
225,35, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States, <=50K
226,41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
227,25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States, <=50K
228,33, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States, <=50K
229,28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
230,59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
231,40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
232,41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
233,38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
234,23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
235,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
236,41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
237,24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
238,20, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,20, United-States, <=50K
239,38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States, <=50K
240,58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
241,32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States, <=50K
242,40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States, >50K
243,41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
244,42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
245,59, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
246,19, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
247,58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States, <=50K
248,42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K
249,20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
250,32, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
251,45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
252,50, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
253,36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
254,45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
255,17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
256,59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States, <=50K
